Job Title,Name of the company,Address,Contact,Telephone,URL
Junior javascript back-end developer,SoftPro,"Киев, Олимпийская",Юлія,+380934670343,https://rabota.ua/company1274075/vacancy8461601/
Аналітик/Junior Data Scientist,АРГО - торговая сеть / ARGO - retail network,"Киев, вулиця Хрещатик, Театральная ",,,https://rabota.ua/company345690/vacancy8426776/
Junior python developer (Intern),IPNET™,"Киев, Голосеевский, Демиевская",Отдел персонала,380504122488,https://rabota.ua/company1666676/vacancy7726037/
Jun/Middle Python Developer (Fighting),WePlay Esports,"Киев, Dniprovska Embankment, 21, Kyiv, Ukraine, 02000",Recruitment Team,,https://rabota.ua/company1934213/vacancy8435371/
Junior Data Engineer,Bini Bambini,Харьков,Юлия Горецкая,,https://rabota.ua/company6362539/vacancy8457501/
Python Specialist,Staff Global,"Киев, вул 192 садова, буд 31, Осокорки ",Дария,+380636823428,https://rabota.ua/company4100836/vacancy7975014/
Python developer,RankActive,"Харьков, Коломенская 63",Ада Журавленко,380687758180,https://rabota.ua/company3730933/vacancy8444905/
Junior Data Scientist,Genesis,Киев,Екатерина,,https://rabota.ua/company782154/vacancy8422660/
Python Developer (SEO Team),EvoPlay,Киев,Александр,,https://rabota.ua/company1590638/vacancy8421005/
"Junior Devops, инженер по автоматизации (Python)",Комплексные Системы - Харьков,"Харьков, Ул. Дарвина, 4",Олег Слива,380934653284,https://rabota.ua/company6784762/vacancy8454381/
Python developer,Alnicko Dev.,Днепр,Konstantin,,https://rabota.ua/company7128985/vacancy8174971/
Trainee Python Developer (IRC113867),GlobalLogic Ukraine,Львов,join.lviv@globallogic.com,,https://rabota.ua/company794/vacancy8453868/
Python Developer (Scrapy),"Клобуцький А.А., ФЛП",Львов,Татьяна,,https://rabota.ua/company3691469/vacancy8453168/
Junior Data Scientist,Fozzy Group / Фоззи,"Киев, Тычины 1-В",Алина,0444951246,https://rabota.ua/company923/vacancy8367275/
Full stack Developer (Web),M4U,"Киев, пр-т. Лобановского, Соломенский",Екатерина ,,https://rabota.ua/company9818123/vacancy8452079/
Build Engineer,Wargaming,Киев,,,https://rabota.ua/company133752/vacancy8378299/
Trainee BigData Engineer,N-iX,"Львов, Стороженка 32",Iryna Ukrainets,,https://rabota.ua/company43767/vacancy8438639/
Trainee Python Developer,Aimprosoft,Харьков,,,https://rabota.ua/company5176902/vacancy8451460/
Junior Python Developer,Synthetic,"Луцк, Виниченка, 26",Марія,0635456786,https://rabota.ua/company6913096/vacancy8170069/
WEB Developer (PHP / Node / Python),Gold development,Винница,Сергей,380674307328,https://rabota.ua/company3224252/vacancy7613259/
Преподаватель курсов по Python,CyberBionic Systematics,Киев,Ірина,,https://rabota.ua/company2870723/vacancy8414702/
Strong junior / middle Data scientist,Artellence,Киев,,,https://rabota.ua/company3308776/vacancy8433231/
Python разработчик,Homfi,"Киев, вулиця Хорива, 39., Контрактовая площадь ",,,https://rabota.ua/company9889729/vacancy8371290/
Junior AI Trainee,AllStars-IT Ukraine,"Киев, Спортивна площа 1а",Кристина Завертана,380443945780,https://rabota.ua/company3338335/vacancy8343777/
Python developer,NestLogic,Киев,,,https://rabota.ua/company10434412/vacancy8429290/
Junior/Strong Junior Python developer,dZENcode LLC,"Харьков, пр. Науки 56",Татьяна,+380996201805,https://rabota.ua/company4999989/vacancy7649410/
Викладач Python,DL,"Львов, Львів, Академіка Андрія Сахарова вулиця, 37",,+380983121958,https://rabota.ua/company10176017/vacancy8425984/
Разработчик чат-ботов telegram,Industria,"Харьков, Отакара Яроша вулиця",Герман,,https://rabota.ua/company9163740/vacancy8424693/
Junior JavaScript or Python Chat-Bot Telegram Developer,Development.Exyte.top,"Киев, Kiev Leonardo Business Centre",Дмитрий Ткачев,+380933865348,https://rabota.ua/company10642334/vacancy8394062/
Python Программист,"Песоцький О.В., ФЛП",Киев,Песоцкий Александр,,https://rabota.ua/company10718634/vacancy8421177/
Startup Search Engine Developer (Python),StartUs Insights,Львов,,,https://rabota.ua/company6090551/vacancy8419937/
Инженер-программист,"Укрграфит,ЧАО","Запорожье, ул.Выборгская, 10",Юлия,380504503557,https://rabota.ua/company3444738/vacancy8417902/
"Full stack Developer (Python, remotely)",PozitiFF,Львов,Ольга Клесман,+380675918996,https://rabota.ua/company5348532/vacancy6775824/
Junior Quantitative Developer,DF Trading,Киев,Vlad,,https://rabota.ua/company10691544/vacancy8414779/
Startup Search Engine Developer (Python),StartUs Insights,Другие страны,,,https://rabota.ua/company6090551/vacancy8412871/
PHP/ Python Backend Developer,BPO company MSV Multicall,Львов,Олена Маласняк,+380962739120,https://rabota.ua/company3216429/vacancy7966290/
Integration architect for Customer Data Platforms (junior/senior),"ADASTRA, s.r.o.",Другие страны,,,https://rabota.ua/company10820395/vacancy8460321/
Программист Go (Golang),"ЛАЙМ КЕПІТЕЛ, ТОВ",Николаев,,,https://rabota.ua/company1653935/vacancy8394526/
Junior Strong /Middle Python/Django developer,iSi Technology,"Днепр, исполкомовская 24б",Арман Аллахвердян,+380984346587,https://rabota.ua/company10807464/vacancy8454300/
